age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
39,4,182515,0,2,9,0,4,1,0,0,10,39,0
27,2,30147,7,4,1,3,4,0,0,0,11,39,0
34,4,269628,11,2,7,0,2,0,0,0,40,39,0
50,4,84507,6,0,1,4,2,0,0,0,23,39,0
22,4,119190,15,4,12,1,4,0,0,0,20,30,0
27,6,348241,8,2,10,0,4,1,0,0,20,39,0
21,4,84707,11,2,7,0,4,1,0,0,40,39,0
48,4,28656,8,2,5,0,4,1,0,0,40,39,1
60,4,135957,11,2,8,0,0,1,0,0,40,39,0
26,4,313297,9,4,1,1,4,1,0,1491,40,39,0
41,4,273722,11,4,12,1,4,0,0,0,17,39,0
36,4,345739,4,4,6,2,4,0,0,0,33,33,0
17,0,237834,11,4,0,2,4,1,0,0,17,39,0
24,4,158514,15,4,3,3,4,1,0,0,40,39,0
29,4,46018,1,4,6,2,4,1,0,0,40,39,0
59,4,369392,11,2,3,0,4,1,0,0,45,39,1
46,4,27990,15,4,12,4,4,0,0,0,40,39,0
48,4,107324,0,0,5,2,4,1,0,0,40,39,0
28,4,515613,7,4,3,1,4,1,0,0,50,39,0
66,4,124944,11,2,3,0,4,1,0,0,40,39,0
47,4,299297,15,0,3,1,4,1,0,0,40,39,0
27,4,216261,11,2,10,0,4,1,0,0,40,39,1
34,1,167096,15,2,7,0,4,1,3386,0,40,39,0
49,4,160105,9,2,12,0,4,1,0,0,60,39,1
38,4,284915,11,4,3,1,4,1,0,0,40,39,0
38,4,358189,9,2,3,0,4,1,0,0,50,39,0
19,4,68839,0,4,12,3,4,0,0,0,31,39,0
43,0,297870,0,4,0,1,4,0,0,0,31,9,0
31,5,184977,9,2,4,0,4,1,0,0,51,39,1
19,7,280261,4,2,12,2,4,1,0,0,34,39,0
23,5,155470,9,4,10,3,4,1,0,0,41,39,0
54,4,86220,5,6,1,1,4,0,0,0,42,39,0
20,8,266961,11,4,1,3,4,0,0,0,40,39,0
47,4,244229,15,0,12,1,4,0,0,0,40,39,1
61,4,100936,11,2,12,5,4,1,0,0,13,39,0
39,4,479876,11,4,7,4,2,0,0,0,40,39,0
58,4,185285,9,2,12,0,4,1,0,0,72,39,1
18,4,382956,15,4,1,3,4,0,0,0,25,39,0
33,4,193662,11,4,1,3,4,0,0,0,40,39,0
20,4,110008,15,2,7,0,4,1,0,0,40,39,0
58,4,89637,11,2,8,5,4,0,0,0,40,39,0
34,4,352497,0,4,6,1,4,1,0,0,50,39,0
41,4,234281,12,2,12,0,4,1,7373,0,40,39,1
48,1,145720,12,2,4,5,4,0,0,0,50,39,1
24,4,288813,9,4,12,1,4,1,0,0,40,39,0
56,4,200589,15,4,3,1,4,1,0,0,59,39,0
26,4,200416,15,4,7,1,2,1,0,0,50,39,0
59,5,184453,9,4,4,1,4,1,0,0,45,39,0
31,4,46833,15,2,8,0,4,1,0,0,22,39,0
34,4,235445,8,2,6,0,4,1,7679,0,40,39,1
18,4,157075,11,2,12,0,4,1,0,0,22,39,0
38,4,394076,9,2,6,0,4,1,0,0,40,39,1
24,4,359647,9,4,12,1,4,1,0,0,50,39,0
27,4,151128,11,4,1,3,4,0,0,0,40,39,0
35,5,183288,8,2,4,0,4,1,6812,0,50,39,1
57,4,110076,9,2,3,0,4,1,14772,0,40,39,1
50,7,290748,9,0,3,1,4,1,0,0,55,39,1
23,7,109513,15,4,1,2,4,1,0,0,68,39,0
42,0,352353,6,2,0,0,4,1,0,0,11,0,0
34,5,181486,9,4,1,5,4,0,0,0,39,39,1
49,4,111594,6,4,12,1,4,1,0,0,40,39,0
38,4,231445,7,0,1,1,4,0,0,0,51,39,0
30,7,32689,11,4,3,1,4,1,0,0,40,39,0
32,4,137186,9,6,10,5,4,0,14825,0,20,39,1
54,4,95469,11,2,7,5,4,0,0,1553,40,39,0
52,4,300254,11,0,12,1,4,1,0,892,40,39,0
22,6,170014,11,4,3,3,4,1,0,0,44,39,0
31,4,142158,9,2,12,0,2,1,0,0,40,39,0
68,4,114634,0,6,12,4,4,0,0,0,40,39,0
37,4,145260,11,2,10,0,4,1,0,0,49,29,1
45,6,126869,11,2,5,0,4,1,14825,0,60,39,1
62,1,254756,9,2,10,0,4,1,0,0,40,39,0
26,4,113002,9,2,4,0,4,1,0,0,40,39,0
33,4,128981,4,2,3,0,4,1,0,0,40,39,0
39,4,319009,11,2,3,0,4,1,0,0,40,26,0
39,2,360891,9,2,1,0,4,1,0,0,21,39,0
38,4,103607,11,4,12,1,4,0,0,0,33,39,0
63,0,197133,0,6,0,1,4,0,0,0,40,39,0
42,4,133634,9,2,12,0,1,1,0,0,40,39,1
26,4,218438,5,4,3,1,4,1,0,0,49,23,0
55,6,253419,9,0,5,1,4,1,0,0,50,39,1
31,6,378152,12,2,10,0,4,1,0,0,40,39,1
29,4,339152,4,4,12,3,4,1,0,0,36,39,0
36,0,119362,11,4,0,1,4,0,0,0,17,39,0
23,4,293177,6,4,1,4,4,0,0,0,40,30,0
49,2,179108,9,0,14,1,4,1,0,0,55,39,0
61,2,77940,9,1,1,5,4,1,0,0,23,39,0
34,4,317316,11,2,12,0,4,1,0,0,24,39,0
31,4,137690,11,0,6,1,4,1,0,0,40,39,0
47,1,47139,12,2,8,5,2,0,0,0,40,39,0
57,4,128051,9,5,3,1,4,1,0,0,45,39,1
18,4,186926,6,2,8,0,4,1,0,0,17,6,0
18,4,283866,15,4,7,3,4,1,0,0,15,39,0
35,4,259323,10,2,6,0,1,1,0,0,40,39,1
26,0,234707,15,4,0,3,4,1,0,0,20,39,0
47,4,96311,15,2,12,5,4,1,0,0,37,39,0
37,2,347423,11,4,3,1,4,1,0,0,40,39,0
23,4,305272,11,2,3,0,4,1,0,0,83,39,0
23,4,348699,9,4,7,2,4,1,0,0,26,39,0
45,1,191855,12,2,10,0,4,1,7657,0,40,39,1
50,4,23063,11,2,8,5,4,0,0,0,40,39,0
49,4,249637,15,0,1,4,4,0,0,1543,40,39,0
33,4,200207,4,3,3,1,1,0,0,0,30,33,0
47,4,182941,7,4,8,4,4,0,0,0,40,39,0
21,4,251829,11,4,1,3,4,0,0,0,23,39,0
47,6,240128,15,0,1,1,4,0,0,0,50,39,0
19,0,298050,11,0,0,2,4,1,0,0,10,39,0
35,4,41802,15,4,4,1,4,0,7265,0,40,39,0
33,4,38930,15,5,1,4,4,0,0,0,40,39,0
19,4,148849,15,2,7,0,4,1,0,0,40,39,1
19,4,316103,15,4,7,3,4,1,0,0,40,39,0
29,4,137226,9,4,13,1,4,1,0,0,40,39,0
22,4,319570,9,4,10,3,4,0,0,0,40,39,0
22,4,90743,11,4,14,2,4,1,0,0,50,39,0
44,4,309142,11,0,6,4,2,1,0,0,40,39,0
30,4,53556,5,4,8,4,4,0,0,0,37,39,0
23,4,484073,9,4,1,3,4,1,0,0,22,39,0
55,6,91047,0,4,6,2,2,1,0,0,40,39,0
45,2,266549,11,2,7,0,4,1,3324,0,40,39,0
48,7,188766,9,2,4,0,4,1,0,0,69,39,1
49,2,129411,1,2,3,0,4,1,0,0,40,39,1
38,2,46601,15,4,3,1,4,1,0,0,40,39,0
44,1,212368,9,2,4,0,4,1,7347,0,40,39,1
32,4,230951,9,0,12,1,4,1,0,2136,12,39,0
62,0,277793,15,4,0,0,4,1,7259,0,40,39,0
35,4,171761,15,4,4,1,4,0,0,0,50,39,0
20,0,111427,11,4,0,2,4,1,0,0,40,39,0
34,4,220162,11,2,14,0,4,1,0,1542,40,39,0
41,4,339512,7,2,14,0,4,1,0,0,56,39,1
29,4,402976,1,4,0,2,4,1,0,0,40,39,0
70,4,102293,15,2,3,0,4,1,0,0,40,0,1
39,6,59633,12,2,10,0,4,1,14839,0,45,39,1
17,4,424943,15,4,1,4,4,0,0,0,20,39,0
46,1,234630,12,0,10,5,4,0,0,0,32,39,0
20,4,184761,15,2,7,0,4,1,0,0,33,39,0
17,4,404923,15,0,1,3,4,0,0,0,40,39,0
36,4,184317,9,2,4,0,4,1,7297,0,50,39,1
64,4,110646,11,6,8,4,4,0,0,0,28,39,0
36,4,125046,11,0,1,1,4,0,0,0,40,39,0
75,2,77886,0,6,1,4,2,0,0,0,40,39,0
59,4,180646,9,0,12,1,4,0,0,0,40,39,0
30,4,110583,0,4,3,1,1,1,0,0,40,39,0
17,4,125625,11,2,10,0,0,1,0,0,46,39,0
49,4,30916,11,2,12,5,4,0,0,0,37,39,0
63,6,209898,8,2,13,0,4,1,0,0,9,39,0
59,4,56015,2,2,13,0,4,1,0,0,40,39,1
25,0,294619,11,2,0,0,4,1,0,0,40,39,0
23,4,92936,15,4,3,1,4,1,0,0,40,39,0
47,4,162960,9,2,3,0,4,1,0,0,40,39,1
30,4,204075,11,2,13,5,4,0,0,0,34,39,0
20,4,129146,9,4,1,3,1,1,0,0,40,9,0
26,4,365318,15,4,10,2,2,0,0,0,21,39,0
47,5,97591,9,2,12,0,4,1,0,0,36,39,1
30,4,300766,9,4,4,1,1,0,0,0,40,6,0
43,5,167618,9,2,4,0,4,1,0,0,51,39,1
43,4,322025,8,0,12,1,4,0,0,0,45,39,0
46,4,258807,8,2,8,0,2,0,0,0,40,39,1
46,4,169369,13,2,12,0,4,0,0,1533,38,39,0
56,7,350304,9,2,10,0,4,1,0,0,91,39,1
37,5,287738,9,2,12,0,4,1,15069,0,40,39,1
45,4,128754,11,2,4,0,2,1,0,0,40,39,0
29,4,138161,7,4,3,1,4,1,0,0,50,39,0
48,4,180113,9,2,3,0,4,1,15156,0,12,26,1
29,4,107919,15,4,7,1,1,0,0,0,40,11,0
17,0,342122,1,4,8,4,2,1,0,0,34,39,0
61,5,123791,9,2,4,0,4,1,0,0,37,39,1
25,7,282920,11,2,6,0,2,1,0,0,40,39,0
28,0,252447,15,4,0,3,4,1,0,0,40,39,0
25,4,354307,11,4,7,1,4,0,0,0,20,39,0
56,0,78762,15,2,0,0,4,1,2210,0,40,39,1
38,6,113473,15,2,13,5,4,1,0,0,40,39,0
33,4,225758,15,2,3,0,4,1,0,0,40,39,1
39,4,31167,11,0,12,4,4,0,0,0,50,39,1
69,0,266778,11,2,0,0,4,1,0,0,40,39,0
24,4,389364,9,4,10,1,4,1,0,0,51,39,0
51,4,290285,9,0,4,1,4,0,0,0,24,39,0
57,6,126359,1,2,8,0,4,1,0,0,40,39,0
40,4,186536,9,2,9,0,4,1,0,0,47,39,1
20,4,158877,15,4,12,3,4,0,0,0,20,39,0
55,6,122181,4,2,3,0,4,1,0,0,11,39,0
37,4,188222,8,2,4,0,4,1,0,0,40,39,1
35,0,302203,15,0,0,1,4,1,0,0,40,39,1
34,7,355302,9,0,10,1,4,0,0,0,68,39,0
24,4,415934,9,4,1,1,4,0,0,0,50,39,0
76,0,573956,9,4,0,1,4,1,0,0,40,38,1
28,6,338922,15,4,12,1,4,1,0,0,50,39,0
43,6,155410,9,0,4,1,1,0,0,0,40,39,1
44,4,55175,11,0,3,4,4,1,0,0,40,39,0
29,4,348201,4,2,8,0,2,0,0,0,16,39,0
23,3,342362,1,2,3,0,4,1,0,0,40,39,0
57,0,177567,9,1,0,1,4,1,0,0,40,26,0
38,4,466584,6,3,7,4,2,1,0,0,40,27,0
81,7,109523,11,2,3,0,4,1,0,0,40,39,0
68,0,194678,4,2,0,0,4,1,0,0,16,39,0
26,5,247748,11,4,12,3,4,1,14826,0,60,39,0
44,4,38573,15,4,10,1,4,0,7300,0,45,39,1
25,4,272031,9,0,13,2,1,1,0,0,40,9,1
65,2,268872,11,0,8,4,4,0,0,0,30,39,0
38,4,62686,15,4,12,4,4,0,0,0,40,39,0
23,4,116792,1,2,4,0,4,1,0,0,40,39,0
24,4,153836,9,0,3,1,4,0,0,0,45,39,0
40,4,174352,15,2,13,0,4,0,0,1974,40,39,1
43,1,40089,15,2,4,0,4,1,0,0,40,39,0
40,1,199377,1,2,3,0,4,1,0,0,40,39,0
25,4,114409,1,2,3,0,4,1,0,0,32,26,0
62,4,31056,7,2,12,0,4,1,0,1996,9,39,1
47,5,150109,9,2,10,0,4,1,0,0,40,39,0
20,4,193093,11,6,1,3,4,1,3305,0,40,39,0
72,0,101241,11,2,0,0,4,1,0,0,40,39,0
36,4,33215,9,2,3,0,2,1,0,0,33,39,0
47,6,203920,8,2,3,0,4,1,0,0,60,39,1
37,4,253018,15,2,12,0,4,1,14789,0,40,39,1
38,6,265312,12,2,3,0,4,1,0,0,50,39,0
54,6,91594,9,4,12,2,4,0,14808,0,20,39,0
53,4,427945,11,0,13,2,4,1,0,0,40,39,0
43,4,36304,11,0,12,1,4,0,0,515,40,39,0
30,4,118947,9,4,10,3,4,1,0,0,50,39,0
53,0,248679,15,6,0,1,2,0,0,1416,21,39,0
46,2,426703,6,4,14,3,4,1,0,0,40,39,0
52,1,198787,15,0,3,1,4,0,0,0,40,39,1
70,6,179772,4,2,5,0,4,1,0,0,40,39,0
22,4,332674,9,2,4,0,0,1,0,0,40,39,0
30,4,91007,9,4,3,2,1,1,0,0,40,9,0
58,6,94156,15,2,12,0,4,1,0,0,40,39,1
49,4,91603,1,0,3,2,2,0,0,0,40,39,0
47,4,194502,11,2,12,0,4,1,0,0,40,39,1
22,4,285959,11,4,7,3,4,1,0,0,40,39,0
71,4,183840,11,2,3,0,4,1,0,0,40,39,1
61,4,185487,15,0,13,1,4,0,0,0,40,39,0
32,4,196605,0,2,3,0,4,0,0,1546,40,39,0
20,1,145888,15,5,4,3,4,0,0,0,40,39,0
35,4,395808,8,0,7,4,4,0,0,0,7,39,0
51,6,39100,8,2,12,0,4,1,0,0,60,39,1
56,4,250456,11,0,6,1,1,1,0,0,40,33,0
35,4,278023,9,0,12,1,2,1,0,0,40,23,0
18,4,294919,15,4,8,1,4,1,0,0,20,0,0
73,1,195802,15,0,0,4,2,0,0,0,40,39,0
54,4,187440,15,2,12,0,4,1,14781,2273,40,39,1
47,5,182191,9,2,4,0,4,1,0,0,40,39,1
45,4,117387,0,4,3,2,4,1,0,0,81,39,0
48,4,110172,9,2,4,0,4,1,0,0,45,39,0
32,4,194457,11,2,8,0,4,0,0,0,40,39,0
58,7,279993,10,2,10,0,2,1,0,0,40,39,1
33,4,166106,9,0,3,1,4,1,0,0,50,39,0
26,4,408445,8,4,10,1,4,0,0,0,50,39,0
48,4,120981,7,4,8,2,4,0,0,0,35,39,1
41,4,218584,15,4,3,1,4,1,15424,0,45,39,0
45,4,111814,1,2,4,0,4,1,0,0,54,39,0
37,7,472209,15,2,3,0,4,1,0,0,62,39,1
36,4,125499,11,0,8,4,2,0,0,0,31,39,0
62,4,326666,3,2,3,0,4,1,0,0,28,39,0
18,4,206963,9,2,3,0,4,1,0,0,60,39,1
33,0,151118,11,2,0,0,4,1,0,0,44,39,0
25,2,240601,11,0,8,1,4,0,0,0,28,39,0
33,4,200335,15,2,3,0,4,1,0,0,60,39,1
33,4,279008,11,4,8,1,4,1,0,0,28,39,0
25,4,185508,9,4,12,1,4,0,0,2149,42,39,0
45,6,118409,15,2,10,5,4,0,0,0,82,39,1
63,4,201171,1,2,4,0,4,1,2884,0,40,39,1
38,4,180742,15,4,3,5,4,1,0,0,45,39,0
36,4,196309,9,4,10,1,4,0,0,0,50,39,0
71,4,91004,0,4,1,1,4,0,0,0,10,35,0
28,4,47352,9,4,12,1,4,0,0,0,43,39,0
39,6,331940,14,4,10,1,4,1,14823,0,19,39,0
19,4,129181,9,4,3,1,4,1,0,0,34,39,0
28,4,168241,9,2,4,5,4,0,0,0,40,39,0
45,6,85092,10,2,10,5,4,0,0,0,40,39,1
25,4,98131,0,4,6,1,4,0,0,0,40,33,0
54,6,182023,15,2,12,0,4,1,0,1988,41,39,1
49,4,238143,2,4,14,1,4,1,0,0,49,39,0
53,4,260102,11,2,7,0,4,1,0,0,40,39,0
51,4,98359,11,0,12,1,2,0,0,0,40,39,0
49,1,48737,10,2,12,0,4,1,0,0,40,39,1
50,5,173182,14,0,3,1,4,1,0,1951,60,39,0
43,4,156306,9,2,3,0,4,1,0,0,40,39,1
33,4,62468,11,2,1,0,4,1,0,2801,40,39,0
61,4,247427,11,2,3,0,2,1,0,0,40,39,0
69,4,120252,11,0,8,1,4,0,0,0,40,39,0
52,4,268959,11,2,12,0,4,1,0,0,40,39,1
24,6,132592,15,2,12,3,4,0,0,0,21,39,0
46,2,88474,1,4,3,1,2,1,0,0,40,39,0
48,4,117179,15,0,6,1,4,1,0,1552,40,39,0
32,4,199200,15,2,10,0,4,1,0,0,81,39,1
23,4,410135,9,4,12,3,4,1,0,1727,40,39,0
23,4,381369,9,4,6,3,4,1,0,0,40,39,0
36,4,114636,0,6,3,1,4,1,0,0,40,39,0
22,4,73243,11,4,8,3,4,0,0,0,40,39,0
28,4,241625,8,4,1,3,4,0,0,2740,33,39,0
30,4,379960,15,0,8,5,4,0,0,0,60,39,0
42,4,275304,4,4,12,1,4,1,0,2332,45,39,0
26,6,190400,9,4,12,1,4,1,0,0,50,39,0
38,1,281806,15,2,13,5,4,0,0,0,40,39,0
36,7,329607,0,4,3,0,4,1,0,0,11,39,0
49,4,88907,7,0,1,4,4,0,0,0,36,39,0
23,4,80914,9,4,12,1,4,0,0,0,40,39,0
29,5,109274,9,4,4,1,4,1,0,0,40,39,0
38,4,351772,15,4,9,3,4,1,0,0,44,39,0
55,1,68779,15,0,13,4,4,1,0,0,40,39,0
53,4,86854,12,0,13,4,4,0,0,0,40,39,0
61,4,130926,11,4,3,2,4,1,0,0,32,39,0
34,4,158478,15,0,4,1,4,0,0,0,50,39,0
42,4,308380,15,4,3,1,4,1,0,0,40,33,0
52,5,191743,9,2,4,0,4,1,14747,0,40,39,1
24,4,162626,7,2,4,0,2,1,0,0,22,39,0
38,6,190132,7,2,12,0,1,1,0,0,45,39,1
55,4,137880,9,2,3,0,4,1,0,0,37,39,0
41,7,148873,8,2,13,0,4,0,0,0,40,11,0
48,7,198527,10,2,10,5,1,0,0,0,20,0,0
31,4,85980,11,4,3,3,4,0,3169,0,40,39,0
28,4,189616,15,0,3,1,4,0,0,1468,40,39,0
61,0,205709,15,4,0,1,4,0,0,0,40,39,0
50,4,108425,0,4,3,1,4,0,0,0,40,39,0
31,4,183725,5,2,3,0,4,1,0,0,40,9,0
41,4,301369,15,3,8,4,3,0,0,0,45,9,0
54,6,368711,11,2,6,0,4,1,0,0,60,39,0
66,4,145342,9,0,3,1,4,0,0,0,50,39,0
42,4,53008,12,2,10,0,2,1,0,1943,51,39,1
24,4,109736,15,4,1,4,4,0,0,0,40,39,0
63,4,88669,11,0,3,1,4,0,0,2554,40,39,0
40,4,193732,9,2,3,0,4,1,0,0,40,39,0
33,6,357406,4,4,3,2,4,1,0,0,55,26,0
33,4,353757,8,2,3,0,4,1,0,0,45,39,0
33,4,148491,9,2,12,0,1,1,0,0,33,23,0
46,7,63254,15,3,1,2,2,1,0,0,40,39,0
38,4,39844,11,2,12,0,4,1,0,0,69,39,1
34,4,349495,9,0,4,1,4,1,0,0,50,39,0
25,4,99014,9,4,12,1,4,0,0,0,20,39,0
32,6,197291,15,2,3,0,4,1,0,0,40,39,0
38,1,222335,15,2,12,0,4,1,0,0,37,39,0
23,4,66588,11,4,3,3,4,0,0,0,21,39,0
37,4,299853,11,4,8,4,2,0,0,0,32,39,0
31,2,197389,5,2,8,0,4,1,0,0,40,39,0
32,4,269189,11,2,14,0,4,1,0,0,31,39,1
37,4,279855,9,4,12,4,4,0,0,0,40,39,0
20,4,183833,11,4,12,1,4,1,0,0,40,39,0
37,4,266021,9,2,12,0,4,1,14838,0,68,39,1
34,4,270939,9,0,1,1,2,1,0,0,40,39,0
56,4,145499,11,6,12,1,4,0,0,0,60,39,0
55,2,229408,11,2,3,0,4,1,0,0,40,39,0
29,4,181306,9,0,12,1,4,0,0,0,30,14,0
37,5,307652,11,2,4,0,1,1,0,0,40,9,0
20,4,80776,9,4,1,3,4,1,0,0,40,39,0
39,4,35548,9,2,12,0,4,1,14842,0,10,39,1
30,4,169442,7,2,4,5,4,0,14852,0,82,39,1
48,6,29897,8,2,13,0,4,0,0,0,60,39,1
54,5,94442,9,2,1,0,4,1,0,0,11,39,1
38,4,292008,11,0,12,4,4,1,3362,0,40,39,1
23,7,221168,15,2,7,0,4,1,0,0,10,39,0
33,7,640637,9,0,12,4,2,0,0,0,40,39,0
25,4,182835,9,2,12,1,4,1,0,0,56,39,1
58,0,276086,0,0,0,1,4,0,0,0,20,39,0
21,4,27528,2,4,3,3,4,1,0,0,40,39,0
45,4,167189,11,2,4,0,4,1,14829,0,40,39,1
32,4,359554,7,4,7,3,4,1,0,0,44,33,0
40,4,342560,14,0,10,1,4,1,0,0,50,39,1
65,1,32342,12,2,13,5,4,0,0,1977,40,39,1
22,4,351828,11,4,10,4,2,0,0,0,9,39,0
19,4,81499,11,0,8,1,2,0,0,1539,40,39,0
40,4,51713,11,4,1,4,4,0,0,0,38,39,0
18,5,369678,10,2,10,5,4,0,0,0,35,39,1
36,4,35711,15,4,12,4,4,0,0,0,11,39,0
35,4,462013,12,0,10,4,4,0,0,0,21,39,0
53,5,360459,9,2,10,0,4,0,0,0,40,39,1
47,4,65260,7,2,4,5,4,0,0,0,40,39,0
52,6,156486,9,2,5,0,4,1,14629,0,40,0,1
53,4,372296,9,2,8,0,4,1,0,0,45,39,0
46,4,152607,15,4,12,1,4,0,14932,0,20,39,0
28,4,210242,9,4,3,1,4,1,0,0,40,39,0
32,0,32474,9,4,12,3,4,1,0,1664,33,39,0
19,4,189491,15,2,3,3,4,1,0,0,60,39,0
50,4,109953,0,0,13,5,4,0,0,0,30,39,0
41,4,95301,15,6,3,4,4,0,0,0,40,39,0
55,0,184412,11,0,0,1,4,0,0,0,33,39,0
55,4,204161,15,4,1,5,4,0,3226,0,40,39,0
29,1,63928,15,4,1,1,4,1,0,0,40,39,0
21,4,272498,15,4,7,1,4,0,0,0,38,33,0
35,4,414667,15,2,7,0,4,1,0,0,60,39,0
48,7,172116,11,2,4,0,4,1,3279,0,60,39,1
56,7,194006,15,0,3,1,4,1,0,0,50,39,0
43,0,163883,15,2,0,0,4,1,0,0,40,39,0
31,4,178078,7,2,1,0,4,1,7333,0,40,39,0
19,6,242742,15,0,10,3,4,0,0,0,40,39,0
49,6,107541,10,2,10,0,1,1,0,0,50,39,1
28,1,245579,15,4,1,1,2,0,0,0,40,39,0
44,4,178084,11,4,1,1,4,0,0,0,32,39,0
39,6,386535,11,2,12,2,4,1,0,0,59,39,0
26,4,110037,4,4,3,2,2,1,0,0,40,9,0
17,4,359445,9,4,7,3,4,1,0,0,40,33,0
58,8,160751,15,2,1,5,4,0,0,0,28,39,0
45,5,198119,9,2,3,0,4,1,5638,0,40,39,1
35,4,179024,7,2,4,0,2,1,7224,0,40,39,1
20,4,83113,11,4,1,3,4,0,0,0,26,39,0
32,4,42084,1,2,12,0,4,1,0,0,60,39,1
29,4,171865,15,4,1,3,4,0,0,0,40,39,0
31,4,256451,15,0,12,1,4,0,0,0,51,39,0
51,4,168757,9,2,12,0,4,1,0,0,40,39,1
36,4,126929,7,2,12,0,4,1,0,0,60,39,1
39,4,270355,15,4,3,1,2,0,0,0,20,39,0
50,4,236201,15,0,12,1,4,0,0,0,27,39,0
32,4,359712,11,2,7,0,4,1,0,0,40,39,0
51,4,232942,6,6,12,4,4,0,0,0,29,39,0
22,4,300349,11,4,1,3,1,1,0,0,60,39,0
52,4,27061,11,2,7,0,4,1,0,0,40,39,1
38,4,36972,1,2,7,5,4,0,0,0,33,39,0
41,2,171510,15,2,10,0,4,1,0,0,50,39,0
29,7,143206,9,2,12,0,2,1,0,0,11,39,0
36,4,116105,11,2,12,0,4,1,0,0,40,39,1
50,5,292582,9,2,10,0,4,1,0,0,21,39,0
47,7,177861,10,2,10,0,1,1,14807,0,40,39,1
20,0,195330,15,4,0,3,4,0,14820,0,9,39,0
39,4,245230,8,0,1,5,4,0,0,0,26,39,0
26,4,199096,11,2,3,0,4,1,3320,0,11,39,0
32,4,200017,9,2,4,0,4,0,0,2340,60,39,1
42,4,244198,8,2,3,0,4,1,0,0,74,39,0
56,4,154069,11,2,13,0,4,1,0,0,40,39,1
29,4,235161,15,4,1,3,4,0,0,0,40,39,0
69,2,178291,11,6,1,1,4,0,0,0,24,39,0
43,4,217032,9,4,12,1,4,0,0,0,40,39,0
31,4,48670,11,4,3,2,4,1,0,0,40,39,0
29,4,53438,11,4,8,1,2,1,0,0,40,39,0
54,4,107366,10,2,4,0,2,1,0,0,23,39,0
77,5,219114,8,2,13,0,4,1,0,0,40,39,1
27,6,111249,9,2,10,0,4,1,0,0,41,39,1
23,4,115183,7,4,3,1,4,1,0,0,60,39,0
52,2,187103,11,0,13,1,4,0,0,0,40,39,0
40,4,143682,0,3,3,4,2,1,0,0,40,39,0
31,1,37273,11,2,12,0,4,1,0,0,40,39,1
28,4,128899,9,0,10,1,4,1,0,0,50,39,0
35,4,378483,6,2,14,0,1,1,0,0,29,0,0
35,4,200386,4,2,3,0,4,1,0,0,40,26,0
48,4,164143,15,0,1,5,4,0,0,2338,40,39,0
30,4,545071,15,6,1,4,4,0,0,0,41,39,0
25,4,126511,9,4,8,1,1,0,0,0,40,39,0
36,4,81503,11,2,1,0,4,0,0,0,40,39,0
18,4,96144,11,0,10,3,4,0,0,0,40,39,0
46,4,56321,11,3,8,4,2,0,0,0,40,39,0
48,4,106737,2,4,10,1,4,1,0,0,55,39,0
33,5,148441,9,2,10,0,4,1,15166,0,50,39,1
25,4,320841,9,4,3,3,4,1,0,0,40,39,0
