LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
114623,1,2,1,48,0,0,0,0,0,0,105825,140189,143605,101906,142322,156380,5324,6360,2996,3927,4810,4232,0
164342,2,2,2,25,-1,-1,-1,-1,-1,-1,8762,17,-687,-296,7813,1360,1241,670,3883,8399,3525,1067,1
30460,1,2,2,22,0,0,0,0,0,2,114663,74184,68870,31097,47448,38837,4241,2600,2174,1037,2277,0,0
24219,2,2,2,44,-1,-1,-1,-1,-1,-2,4882,22184,15691,12597,0,0,14037,10556,0,0,0,0,0
298650,2,1,1,29,2,2,2,2,2,2,57562,288841,265167,172428,206701,292694,5695,3712,14761,9418,6392,5886,1
308487,2,2,2,33,0,0,0,0,0,0,134211,144841,81792,101508,83072,72530,8472,3845,9787,8063,2915,2477,0
398253,2,1,2,53,1,-1,-1,0,0,0,13765,11982,23168,28681,10457,28584,0,1645,1227,1015,1416,84,0
634648,2,2,2,28,0,0,-1,0,0,0,11466,9268,4307,7369,30438,13498,3502,4899,2966,58318,1100,1068,1
207539,1,3,2,47,-1,-1,-1,-1,0,-1,959,2774,0,-394,412,9904,1005,108477,1563,1160,439,872,0
206001,2,1,1,24,0,0,0,0,2,0,12323,78307,50857,21675,29875,37061,2194,1713,3250,1848,2485,2725,1
502153,2,1,1,43,0,-1,0,0,0,0,122,37310,128972,127456,148447,181405,27190,22609,9271,11588,11034,8117,0
78970,1,2,1,35,1,2,0,0,0,2,1847,16411,35167,17383,7607,33273,1999,6675,2602,1252,2258,0,1
214924,1,1,1,49,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
49985,2,1,2,43,0,2,2,2,0,0,45431,43610,13740,41776,36295,16069,1205,1875,0,1186,1128,1636,0
332721,2,1,2,43,-2,-2,-2,-1,-2,-2,4108,5141,-63,3247,157321,0,2818,1056,7222,67204,0,45207,0
310282,1,2,1,48,-1,-1,-1,-1,-1,-1,5281,4700,18106,2135,3115,3483,10595,8511,11869,162,9058,6142,0
480083,1,1,1,29,2,-1,-1,-1,0,-1,61186,1308,18830,17029,4918,34580,2054,10543,33243,469,1280,23182,0
59262,1,3,1,39,0,0,0,0,0,2,76575,62408,52258,80296,75107,34500,4555,3770,5078,1391,1833,0,1
24884,2,1,2,36,0,-1,-1,-1,-1,-2,1887,19196,10958,34692,507,1129,8878,2162,0,1422,1779,0,0
212001,1,2,1,59,0,0,0,0,0,0,80895,71299,70132,59575,58353,26755,3373,8905,2204,2254,1557,1734,0
124602,2,1,2,32,0,0,0,-2,-2,-2,11414,13867,16786,7307,13700,228,1701,2194,0,431,4459,1175,0
53003,2,2,1,25,0,0,0,0,0,0,108674,55607,48062,23177,21761,21794,1462,1017,667,641,286,27,0
46084,2,3,1,37,0,0,0,0,-1,2,40639,48343,48652,9468,21969,29056,2207,2421,1004,6910,0,816,0
191455,1,1,2,30,0,0,0,0,0,0,138819,116136,172769,84481,143441,222553,4673,5853,4446,4878,3524,5200,0
146323,1,2,1,36,0,0,0,0,0,-1,32756,35711,83554,64716,14891,38695,11431,8480,23248,7993,4557,4114,0
206878,2,1,1,32,3,2,2,8,0,8,755,-836,2911,-638,1773,40,0,0,0,0,0,0,1
212083,2,1,1,38,-1,-1,-1,-1,-1,-1,1161,2361,1457,7071,14623,52206,2636,5604,14861,12715,4828,2199,0
172349,2,1,1,32,-1,0,-1,0,-1,-1,6469,32181,24366,592,14666,17660,11304,11786,10241,15231,28173,11402,0
77646,1,2,1,51,0,0,0,2,2,2,43336,42546,18389,24901,60963,38678,4461,3521,1965,2235,2246,1852,0
83041,2,2,2,34,2,0,0,0,0,0,79285,46298,78536,24734,13114,12656,4018,2700,2315,183,1907,1411,0
206827,1,2,2,52,0,0,0,2,0,0,111851,240539,346756,231617,200699,156810,13355,0,21517,4594,4676,3408,0
45011,1,2,1,28,0,0,0,0,0,0,135738,161358,86558,17610,10458,15311,2154,1909,5120,1053,2300,2731,0
40294,2,2,1,38,-1,0,-1,-1,-1,-1,12085,16804,17806,12891,27490,25205,4377,10183,6607,0,568,477,1
48310,2,2,2,37,0,0,-2,-2,-2,-1,38729,16256,7763,2635,15978,5630,0,0,0,0,592,763,0
289308,1,1,2,29,0,0,0,0,0,0,6011,999,3137,8852,2180,3763,1948,2257,2796,679,5918,2433,0
337193,2,2,1,41,0,0,0,0,0,0,400655,476042,287486,453519,132709,195718,19121,18390,1970,84237,6214,7963,0
276298,2,2,1,61,-2,-2,-1,-2,-1,-2,4094,17967,31269,6588,15704,13868,12121,11998,3877,6774,11072,8403,0
55589,2,1,2,34,0,0,0,0,0,0,43276,84407,82582,89433,92042,66111,2731,3372,4918,2126,2340,3953,0
339638,1,2,1,40,0,0,0,0,0,0,52273,38807,37168,17623,13752,16427,4305,6492,1444,919,2454,1701,0
28855,1,3,2,38,1,-1,-1,0,0,0,968,4475,1065,7513,18154,3356,255,699,0,1959,1409,0,0
20191,1,2,2,22,0,0,0,0,0,0,10919,8170,8759,9679,23777,12719,1323,1032,1791,1591,474,1434,0
332577,1,3,1,48,2,-1,-1,0,2,0,4468,2504,1355,11323,4307,-1127,1710,1011,1156,0,0,0,0
50400,2,2,1,59,0,0,0,0,0,0,40576,21061,28579,27474,35500,28798,2517,1568,4442,1291,691,784,1
105485,2,1,1,22,0,0,0,0,0,0,203605,135589,97412,116502,121940,103242,9505,22160,7117,11081,19747,4948,0
54025,1,2,1,29,0,0,0,2,2,0,33207,41243,56902,46927,38514,23373,1410,1762,4167,3069,7948,4209,1
306129,2,1,1,41,-2,-2,-2,-2,-2,-2,-1504,-2195,46,2826,431,-132,379,1160,0,146,0,2443,0
218640,2,1,2,52,1,-2,-2,-2,-2,-2,0,0,114660,0,0,0,0,0,10238,0,0,0,0
503709,1,1,1,60,-2,-2,-2,-1,-1,0,10921,35708,79519,164208,270881,117273,0,101279,52504,48663,44635,6705,0
486022,2,1,1,41,0,-1,0,0,-1,0,4394,90207,2994,108679,32403,15295,6865,6567,2674,8523,12470,5948,0
224285,2,2,2,29,-1,-2,-2,-2,-2,-2,2757,0,0,0,0,0,0,0,0,0,0,0,0
360119,1,1,2,51,-1,-1,-1,-1,-1,-1,20244,26526,-465,24494,53540,19936,16795,14927,111210,37454,26916,50310,0
45354,1,1,2,41,1,2,2,0,2,0,6646,19000,8187,12054,14958,24750,0,0,2296,1126,1209,0,0
288112,2,2,1,31,0,0,0,0,0,0,26413,37076,52923,53566,33912,34232,2411,2137,2180,2259,67006,2201,1
376333,2,3,1,34,-2,-2,-2,-2,-2,-2,25484,59292,8072,34454,9968,40091,27276,11173,3444,5467,4474,27763,0
213944,1,1,2,60,0,0,0,0,2,2,46655,35587,35134,37485,67769,32563,2983,3918,1887,1497,2645,2665,0
113099,2,3,1,41,2,0,0,0,0,0,198421,170478,183571,191852,213473,116045,4955,6220,6990,6635,3734,2807,0
320029,1,1,2,59,0,0,0,0,0,2,218076,198427,132466,102293,132512,116160,8381,19577,3618,4226,5692,0,0
325356,1,1,2,36,1,-1,-1,-1,-1,-2,0,703,-2333,16813,0,0,1270,2941,10889,0,0,1043,0
409381,1,1,1,46,0,0,0,0,0,0,115944,343430,316090,298079,61510,30784,138949,59407,17210,5286,8201,4897,0
325533,2,1,2,38,0,0,0,0,0,0,75236,66044,68594,74287,88843,43877,12303,86947,3376,5514,4479,3567,0
293154,2,2,2,49,-2,-2,-2,-2,-2,-2,9101,13255,16095,3156,11554,25586,4687,8927,97713,45352,20929,836,1
321706,1,3,1,40,0,0,0,0,0,0,17300,23693,3226,3998,2304,0,976,994,722,0,0,0,0
411509,2,1,1,34,0,0,0,0,0,0,199356,208712,183899,208914,205094,170720,12547,10433,10864,10783,4792,11563,0
250038,1,2,2,31,0,0,0,0,0,0,170449,110924,76247,78207,102932,65418,5422,2384,2952,2624,2068,5427,0
116478,2,1,2,29,0,0,0,0,0,0,2178,19349,21536,11348,12519,17975,2665,9956,175,268,0,577,1
51833,2,2,2,37,0,0,0,0,0,0,37770,44429,38557,13331,17939,8255,3106,1440,1032,2003,1525,701,0
503277,1,1,1,30,2,3,-2,-2,-2,-2,9018,77563,49656,31797,368395,200038,41513,0,4484,11494,26057,53437,0
74394,2,1,2,49,2,2,-1,0,2,2,0,0,900,533,2103,902,0,1021,0,2308,0,1816,1
57655,2,2,1,59,0,0,0,0,0,0,26543,54588,46887,5989,0,17058,1834,1136,1201,1632,2123,788,1
395520,2,2,1,45,-2,-2,-2,-2,-2,-2,4078,5272,256,4492,2601,1824,1723,2535,3980,3264,899,212,0
417958,2,1,1,46,-2,-2,-2,-2,-2,-2,6333,10197,15350,2312,7096,11334,11864,9398,6092,8354,5037,1093,0
264369,2,3,1,45,0,0,0,0,0,0,54746,30959,28549,30138,23118,19156,886,1078,1502,2682,1046,2697,0
48479,1,3,1,42,0,0,0,0,0,0,102672,97802,81943,55625,46930,51386,3129,3501,2901,3181,1320,2910,0
327445,2,2,2,49,2,-1,0,0,0,0,4111,18721,37298,8102,32074,13150,13201,3386,6153,719,1010,1157,1
210968,1,1,1,48,-2,-2,-2,-2,-2,-2,1053,11262,11420,2299,17524,18204,12486,7814,8702,41910,40408,8810,0
512689,1,2,2,43,0,0,0,0,0,0,52135,19952,245884,168447,165440,64877,9433,22031,14830,10091,202171,12203,0
55841,2,2,2,34,0,0,0,0,0,0,30443,18379,40414,30646,32786,27063,1933,1896,1201,1185,0,1565,0
48771,2,2,1,48,0,0,0,0,0,0,43828,48735,54579,31574,47981,49342,1917,1256,1533,6787,1858,2597,0
499277,2,1,1,59,-2,-1,-1,-1,-1,-1,5321,19888,10679,19943,20792,2729,25694,39941,15683,11592,6266,9065,0
221825,2,1,1,39,0,0,0,0,0,0,113915,114934,115215,88150,139118,127211,7916,5473,4585,3306,2998,4031,0
48038,2,1,2,23,2,3,2,2,2,0,49144,42901,46548,44004,42995,26592,4433,0,0,0,1696,665,1
206969,2,3,1,32,3,2,2,8,0,8,2135,1964,4045,2506,1959,1096,0,0,0,0,0,0,1
222062,2,1,1,53,-1,-1,-1,-1,-1,-1,1429,12761,4162,1337,56076,94500,2915,446,737,73562,28984,9642,1
129783,2,2,1,57,0,0,0,2,0,0,132739,90345,73501,179185,351580,62817,2646,7343,0,2972,0,3038,0
32311,2,2,1,30,2,0,2,2,0,2,20929,30433,27324,34184,34144,46507,1370,1217,2019,1283,1085,101,0
201436,1,1,1,56,-1,-1,-1,-1,-1,-1,3584,-2097,4297,3758,5980,4612,8409,1439,3692,3700,4309,2200,0
39030,1,2,2,25,1,2,0,0,0,2,40934,81994,73264,57884,59443,51549,0,3054,3995,4647,0,2112,0
116079,1,2,2,36,0,0,0,0,0,2,90556,75835,37949,21758,54556,19421,2526,11608,2007,1790,2985,11321,1
138887,1,1,2,69,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
87694,1,1,1,36,1,-2,-1,-1,0,-1,0,4475,1466,-252,1069,-436,0,10,0,0,244,541,0
161738,2,1,1,43,1,2,-1,-1,-1,-1,16386,160,8768,38718,9272,16204,0,1718,0,10102,17533,0,0
61720,2,3,1,25,0,2,0,0,0,0,11029,11319,7433,13296,15578,14434,1567,670,1654,1024,729,1242,0
38670,2,2,1,33,1,2,0,0,0,0,5111,25901,20264,29931,29612,25006,0,1004,2092,2860,679,1575,0
47659,1,3,2,37,1,2,0,0,0,0,75900,50228,46580,50567,40552,21971,0,4004,2465,2722,1159,1295,1
298898,1,2,1,49,0,0,0,0,-2,-2,256552,380501,301983,286472,0,0,11405,14530,152255,0,0,0,0
158311,1,2,2,48,-1,-1,-1,2,-1,2,2128,4518,843,741,1380,822,2548,1476,0,6361,0,2200,1
83215,2,1,2,39,0,0,0,0,0,0,86089,3549,23366,26952,30758,32528,2495,674,1378,442,2832,613,0
98126,1,2,1,38,2,2,2,0,0,0,85675,93937,77751,110659,58118,34126,0,3004,16094,1096,31501,985,1
282327,2,2,1,36,-1,-1,-1,-1,-1,-1,10332,-323,17412,-649,15567,13702,7225,8763,1428,6930,9168,0,0
296130,2,1,2,47,-2,-2,-2,-2,-2,-2,3432,6565,5291,8903,8295,3458,10427,3440,12473,4737,1239,2728,0
313481,1,2,1,46,-1,-1,-1,-1,-1,-1,4377,63895,18981,6965,25161,15832,17647,18644,12753,15137,6958,11687,0
200341,1,3,1,37,0,0,0,0,-2,-2,90684,50907,83094,0,0,0,5576,2183,0,0,0,0,0
150583,2,1,1,64,-1,2,-1,-1,-1,-1,224,1844,2848,972,299,8721,0,1761,743,295,8460,398,0
201983,2,3,1,41,0,-1,0,0,0,0,172817,3334,39068,151329,232430,75527,3292,93182,118090,3991,3609,0,0
50293,2,3,2,47,0,0,0,0,0,0,50571,86225,53082,28503,35043,42014,1300,829,2355,691,639,1497,0
28154,2,2,1,32,1,3,2,2,2,2,41451,41789,57355,41050,49349,51354,0,4728,4791,0,0,2523,1
183464,2,1,2,31,0,0,0,0,0,2,1058,24976,16219,855,6363,73330,2562,8824,4749,3695,0,3389,0
81050,2,1,1,44,2,2,3,2,2,2,101800,97168,143570,134609,68947,124215,5092,6941,0,1112,0,11095,1
77237,1,2,2,40,-2,-1,-2,-2,-1,-2,4581,2561,3695,3441,4183,-1207,1574,751,1292,2497,1122,15920,0
132609,1,3,1,58,0,0,0,0,0,0,145977,80897,36450,20006,19754,11200,4820,2198,2931,1463,1253,607,0
140184,2,2,1,39,0,-1,-1,-1,-1,-1,18218,10118,13431,4352,3847,1318,18757,3411,7945,4376,3364,10009,0
309569,1,1,2,48,-1,-1,-1,0,0,-2,1347,3049,-1168,-1746,2082,-690,2608,6065,1127,0,5009,4141,0
215497,1,3,1,39,2,-2,-2,-2,0,0,1666,2083,0,911,-449,-985,0,0,0,1147,0,720,0
161339,1,3,1,35,1,2,2,2,2,2,182788,165715,448845,144725,158961,93064,2328,8776,8206,0,8798,0,1
165654,2,2,2,33,0,0,0,0,0,-1,65277,72429,157690,10591,1735,2986,4064,4524,2069,319,1267,9064,1
194183,2,2,2,26,-2,-2,0,-2,-2,2,85636,0,76196,1873,0,49268,0,0,0,5641,0,3804,0
62562,2,2,1,23,0,0,0,0,0,0,22292,17117,13505,10051,13552,16261,1110,1063,1090,927,948,907,1
48016,2,1,2,30,0,2,2,3,0,0,50250,39559,33725,57610,44446,44054,0,4959,0,780,2241,1116,1
181207,1,1,1,32,0,0,0,0,0,0,40516,84608,133028,56399,69005,61523,4608,1406,2961,1854,5054,2361,1
102879,2,2,2,25,0,0,-1,-1,0,0,5675,2513,3188,28851,41286,20412,1157,4185,89558,3804,2752,14739,0
53653,2,2,2,24,0,0,0,0,0,0,65758,45818,27489,48783,62051,45829,1965,869,3173,7309,4042,1185,0
33700,1,1,2,39,0,0,0,0,0,0,65047,127137,86487,103713,80613,11236,6823,2762,0,2207,0,3139,0
151357,2,3,1,45,-2,-2,0,0,-2,-2,1194,5643,6177,714,8530,0,1814,1712,546,857,0,0,0
85807,1,3,2,40,0,0,0,0,0,0,68387,76493,56798,53808,84943,77598,4057,2729,6344,1839,2370,3501,0
50974,2,1,2,48,2,2,3,2,2,2,38850,43479,16497,12932,4243,13428,1170,0,0,0,0,0,1
147717,1,2,1,45,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
123984,1,3,1,47,2,2,2,2,2,2,81238,53786,68719,63492,79511,71148,2996,2333,1914,0,2675,3177,0
139737,2,3,1,49,-2,-2,-1,-1,-1,0,0,0,2083,0,2762,0,0,388,10998,1477,0,0,0
39309,1,3,1,46,1,2,0,0,0,0,13363,27935,12777,13563,0,0,0,530,1970,0,0,0,1
385239,1,1,2,24,0,0,0,0,0,0,71308,41339,51478,54486,75380,71219,2977,1639,3327,2540,645,2027,0
55555,1,2,1,27,2,2,0,2,2,2,6405,36628,20822,14036,28126,24774,1663,1041,819,900,0,1186,1
353483,1,1,1,58,-2,-2,-2,-2,-2,-2,203,1850,-7,-811,72,1369,2188,2411,7073,200,1249,9947,0
51231,1,1,2,45,0,0,0,0,0,0,41952,45965,31394,36108,62675,53437,2452,8154,6790,7806,1605,4247,1
198325,2,3,2,47,0,0,0,0,-1,-2,10843,3419,16837,3588,1677,1206,1691,2120,0,1198,0,1157,0
132476,1,2,2,30,0,0,0,0,0,0,132896,76501,64051,91117,56945,73278,4491,2210,4913,2517,2542,4562,0
49382,2,2,1,34,0,0,0,0,0,0,56611,46613,23074,39934,43118,21800,2142,2267,0,986,675,2351,0
403754,1,2,2,32,-1,-1,-1,-1,-1,2,7354,14257,1494,11701,6413,5135,2173,1760,2274,2364,0,137818,0
26602,2,2,1,35,-1,4,3,3,0,0,202,1920,408,-190,468,3227,0,0,0,0,1448,0,0
191850,2,2,1,47,0,0,0,0,0,0,296685,184507,227236,336935,248584,251981,15497,27977,20343,8248,8412,11717,0
22241,1,2,2,26,-1,-1,-1,-1,-1,0,7357,16732,12029,8271,1032,3969,4011,4638,8169,25,3662,0,0
18257,1,2,2,29,0,0,0,0,0,0,40204,35533,16803,34514,22767,24367,2903,1829,1542,1221,1341,1184,1
203492,2,3,1,55,0,0,-1,-1,-1,-2,49933,36425,4025,-179,0,0,1775,259,1506,0,0,0,0
21971,2,3,2,23,0,0,0,0,0,0,31811,40654,18249,38948,60768,40984,2020,2161,1670,1160,2343,1982,1
198838,2,2,1,27,0,0,0,0,0,-2,17360,15191,23039,45786,0,0,3683,4269,2188,0,0,0,0
160489,2,3,1,38,0,0,2,2,3,2,110477,46336,44826,72406,77378,55625,5691,2323,0,1822,0,1702,0
19343,1,1,2,40,6,5,4,4,2,2,31770,112065,316100,88448,328806,63698,0,0,0,0,3276,18180,1
116461,2,1,2,26,0,0,0,2,2,2,30783,78699,31583,54917,31883,56955,2625,2318,0,0,0,78,0
25855,2,3,1,49,1,2,-1,2,0,0,13288,7006,7974,19908,29380,13043,0,999,0,428,867,315,1
193538,2,2,1,38,0,0,0,0,0,0,121558,89147,143087,94807,152694,109434,6051,4631,4239,7152,2250,6995,0
178839,2,2,2,42,-1,-1,-1,-1,-1,-1,2872,3583,6771,794,2313,180,2494,5696,2525,745,11024,8850,0
48522,1,1,2,36,0,-1,-1,-1,-1,-2,0,3146,-257,529,0,0,664,1099,552,0,0,0,0
52389,2,3,1,35,-1,-1,2,2,-1,-1,89395,3291,32173,72499,915,2067,4483,0,0,6025,977,11675,1
186342,2,1,2,33,1,-1,-1,0,-1,0,8148,385,2023,980,526,3401,1860,498,1119,200,137,465,0
92237,2,3,1,36,2,2,2,2,2,2,48300,100683,59620,52480,51619,50822,1160,2990,1622,2210,3076,3589,0
80438,1,1,1,44,0,0,0,-1,-1,0,38334,45879,5270,5767,-632,-263,4610,2275,1077,1610,1047,5298,0
56201,2,1,2,36,0,0,0,0,0,-2,36586,17316,9509,16913,0,0,2392,742,2038,0,0,0,0
71920,2,3,2,63,2,2,3,2,2,2,1927,3328,3075,20182,362,1053,1851,0,0,0,0,0,1
255806,1,2,2,43,2,2,2,2,0,0,185737,211034,98998,235297,206126,224348,9041,0,10324,3007,9596,6159,0
231884,2,2,1,43,-2,-2,-2,-2,-2,-2,13831,11327,5199,8082,22507,2189,12831,5047,5420,4701,1382,3658,0
49409,2,2,1,38,2,2,2,2,2,2,25950,49388,36756,40051,67605,41569,0,5211,2855,0,3687,4174,1
33038,2,2,2,25,1,2,2,0,4,3,17440,22529,13054,25236,28055,30355,3815,0,1634,0,0,0,0
420150,2,1,2,33,-1,-1,-1,0,0,0,12026,18245,-6410,203245,101474,31931,75323,12863,8358,2663,18926,5146,0
110205,1,1,2,43,1,2,0,0,0,0,4924,2437,38489,17420,9242,18949,0,1835,1288,188,1007,0,0
143758,2,2,1,35,1,2,0,0,0,0,0,37075,104037,72597,52167,66631,3958,5256,2141,2242,4728,1747,0
53120,1,1,2,30,0,0,0,2,2,2,38992,38591,46913,51320,52718,58577,5954,5287,5332,2257,0,2906,0
16644,1,2,1,51,0,0,0,0,0,-2,6403,6873,-297,14228,5856,2082,1200,1228,695,872,832,0,0
125799,2,2,1,37,0,0,0,0,0,0,105894,161702,121400,110250,137361,107185,4834,2790,3484,3809,3873,4406,0
48857,1,3,1,44,0,0,0,-2,-1,-2,42585,43760,0,46401,2231,1409,5506,0,0,7918,1230,1776,0
77824,1,3,1,34,0,0,0,0,-1,0,39068,4681,3034,12746,6716,2830,2660,1354,1641,106,3905,9262,0
464430,2,2,1,41,0,0,0,0,0,0,95079,102475,117579,101459,165303,134849,10738,6396,1743,5194,4108,5865,0
355335,1,1,1,48,0,0,0,0,0,0,151579,229143,191574,20305,250914,153715,7105,4173,4699,3730,1417,1515,0
101047,2,2,1,46,-2,-2,-2,-2,-2,-2,6480,15269,1880,2652,0,552,11502,0,4597,0,787,2266,0
227193,1,1,1,45,-2,-2,-2,-2,-2,-1,2107,-264,335,1164,2299,-639,920,373,2870,1463,812,278,0
84932,1,2,2,48,0,0,-1,-1,-1,0,4706,1658,5518,36,5796,1115,1704,1230,3811,2880,649,600,0
114794,2,1,1,43,1,-2,-2,-2,-1,-1,0,0,0,0,2086,-451,0,0,0,1071,116,1703,0
277510,2,1,2,42,-1,-1,-1,-1,-1,-2,558,10103,2132,2352,0,0,3888,10534,1888,0,0,0,0
52592,2,2,1,54,0,0,0,0,0,0,7695,23225,27494,20779,34639,27349,1924,1387,1355,1197,906,805,0
393498,1,2,1,64,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
77968,1,3,1,40,1,2,2,2,2,2,43298,71527,67916,58572,95135,51183,4284,4736,1442,1664,2074,0,1
165856,1,2,1,43,0,0,0,0,0,0,106938,91056,121002,19501,54188,37623,2908,2235,1446,1324,3137,0,0
48635,2,2,2,35,2,2,3,2,2,2,46870,81581,53981,39536,58947,49678,2449,10900,0,19735,0,2320,1
